Seller Name,Seller Reputation,Card Quality,Card Price
MagicCardCentre,Outstanding,Near Mint,'0,40 £'
Yingfa1990,Outstanding,Near Mint,'0,43 £'
abreunicolas,Very good,Near Mint,'0,49 £'
JimJim,Outstanding,Good,'0,50 £'
TDR62,Outstanding,Near Mint,'0,53 £'
Jester28,Outstanding,Excellent,'0,55 £'
nic222k,Outstanding,Near Mint,'0,59 £'
Sungshell,Outstanding,Near Mint,'0,60 £'
Sungshell,Outstanding,Near Mint,'0,62 £'
speedsort,Outstanding,Near Mint,'0,69 £'
BoomKegGaming,Outstanding,Excellent,'0,75 £'
macza,Outstanding,Excellent,'0,79 £'
RiversMTG,Outstanding,Good,'0,80 £'
gazza006,Outstanding,Near Mint,'0,87 £'
deadscopes,Outstanding,Near Mint,'0,88 £'
Mikon,Outstanding,Excellent,'0,88 £'
RiversMTG,Outstanding,Excellent,'0,90 £'
BoomKegGaming,Outstanding,Near Mint,'0,95 £'
R-n-R,Outstanding,Excellent,'1,23 £'
BoomKegGaming,Outstanding,Near Mint,'1,45 £'
deadscopes,Outstanding,Near Mint,'1,75 £'
Mausch,Outstanding,Excellent,'1,79 £'
rettejer,Outstanding,Near Mint,'8,73 £'
Goodking,Outstanding,Near Mint,'2,61 £'
IanBruford,Outstanding,Near Mint,'3,60 £'
